run:
						<<<<<<<<<<<<<<<<<< STORAGE SNAPSHOT >>>>>>>>>>>>>>>>>>>

                               		0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
For Data Number: ------>>>>> 5		|0| 	|9899| 	|0| 	|6714| 	|4593| 	|7428| 	|0| 	|0| 	|0| 	|1| 	|0| 	|762| 	|0| 	|2977| 	|2782| 	|3893| 	|0| 	|0| 	|0| 	|9946| 	|0| 	|1159| 	|0| 	|2984| 	|3186| 	|3462| 	|0| 	|0| 	|0| 	|9744| 	|0| 	|5199| 	|0| 	|7044| 	|7145| 	|3388| 	|0| 	|0| 	|0| 	|9697| 	|0| 	|9448| 	|0| 	|2876| 	|2479| 	|6768| 	|0| 	|0| 	|0| 	|8229| 	|0| 	|6896| 	|0| 	|984| 	|5226| 	|9495| 	|0| 	|0| 	|0| 	|5300| 	|0| 	|7172| 	|0| 	|7879| 	|2176| 	|4499| 	|0| 	|0| 	|0| 	|1617| 	|0| 	|7421| 	|0| 	|1765| 	|3886| 	|3159| 	|0| 	|0| 	|0| 	|4977| 	|0| 	|1213| 	|0| 	|1691| 	|9165| 	|8034| 	|0| 	|0| 	|0| 	|5125| 	|0| 	|3105| 	|0| 	|257| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 

For Data Number: ------>>>>> 6		|0| 	|3671| 	|0| 	|8775| 	|2607| 	|2210| 	|0| 	|0| 	|0| 	|82| 	|0| 	|8822| 	|0| 	|190| 	|6021| 	|5718| 	|0| 	|0| 	|0| 	|2917| 	|0| 	|2385| 	|0| 	|9630| 	|9475| 	|8950| 	|0| 	|0| 	|0| 	|567| 	|0| 	|5543| 	|0| 	|9428| 	|9179| 	|2412| 	|0| 	|0| 	|0| 	|4728| 	|0| 	|3644| 	|0| 	|3597| 	|6654| 	|1321| 	|0| 	|0| 	|0| 	|6324| 	|0| 	|7105| 	|0| 	|9502| 	|3240| 	|9071| 	|0| 	|0| 	|0| 	|8068| 	|0| 	|8923| 	|0| 	|5038| 	|7563| 	|7253| 	|0| 	|0| 	|0| 	|8997| 	|0| 	|9024| 	|0| 	|4681| 	|3617| 	|4149| 	|0| 	|0| 	|0| 	|4021| 	|0| 	|3139| 	|0| 	|7785| 	|9327| 	|7004| 	|0| 	|0| 	|0| 	|7765| 	|0| 	|9603| 	|0| 	|917| 	|8849| 	|8647| 	|0| 	|0| 	|0| 	|2304| 

For Data Number: ------>>>>> 7		|0| 	|4358| 	|0| 	|8580| 	|6055| 	|4587| 	|0| 	|0| 	|0| 	|8984| 	|0| 	|4183| 	|0| 	|4863| 	|8883| 	|5927| 	|0| 	|0| 	|0| 	|5698| 	|0| 	|6176| 	|0| 	|776| 	|3658| 	|7240| 	|0| 	|0| 	|0| 	|8553| 	|0| 	|3557| 	|0| 	|1227| 	|5193| 	|3045| 	|0| 	|0| 	|0| 	|8506| 	|0| 	|6075| 	|0| 	|1032| 	|7691| 	|4560| 	|0| 	|0| 	|0| 	|9536| 	|0| 	|4237| 	|0| 	|8304| 	|5523| 	|143| 	|0| 	|0| 	|0| 	|22| 	|0| 	|4668| 	|0| 	|8802| 	|8277| 	|9940| 	|0| 	|0| 	|0| 	|520| 	|0| 	|4062| 	|0| 	|5651| 	|4163| 	|15| 	|0| 	|0| 	|0| 	|2641| 	|0| 	|3254| 	|0| 	|5395| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 

For Data Number: ------>>>>> 8		|0| 	|4803| 	|0| 	|2776| 	|5961| 	|3409| 	|0| 	|0| 	|0| 	|3483| 	|0| 	|9651| 	|0| 	|5281| 	|6035| 	|864| 	|0| 	|0| 	|0| 	|5705| 	|0| 	|3086| 	|0| 	|9018| 	|2628| 	|837| 	|0| 	|0| 	|0| 	|480| 	|0| 	|5712| 	|0| 	|3591| 	|8836| 	|7826| 	|0| 	|0| 	|0| 	|2958| 	|0| 	|4695| 	|0| 	|2473| 	|4042| 	|534| 	|0| 	|0| 	|0| 	|2453| 	|0| 	|6924| 	|0| 	|5584| 	|2352| 	|1012| 	|0| 	|0| 	|0| 	|9422| 	|0| 	|1140| 	|0| 	|1544| 	|8183| 	|7429| 	|0| 	|0| 	|0| 	|3288| 	|0| 	|7732| 	|0| 	|3133| 	|5429| 	|6567| 	|0| 	|0| 	|0| 	|8688| 	|0| 	|5732| 	|0| 	|9853| 	|4143| 	|8439| 	|0| 	|0| 	|0| 	|2049| 	|0| 	|9449| 	|0| 	|4015| 	|1874| 	|4116| 	|0| 	|0| 	|0| 	|7099| 

For Data Number: ------>>>>> 9		|0| 	|2312| 	|0| 	|386| 	|4938| 	|3214| 	|0| 	|0| 	|0| 	|2009| 	|0| 	|6473| 	|0| 	|7234| 	|5416| 	|1194| 	|0| 	|0| 	|0| 	|9759| 	|0| 	|8695| 	|0| 	|3470| 	|9833| 	|9880| 	|0| 	|0| 	|0| 	|292| 	|0| 	|5032| 	|0| 	|9281| 	|9961| 	|8244| 	|0| 	|0| 	|0| 	|8419| 	|0| 	|1753| 	|0| 	|9887| 	|9732| 	|5342| 	|0| 	|0| 	|0| 	|6150| 	|0| 	|6628| 	|0| 	|413| 	|8170| 	|1504| 	|0| 	|0| 	|0| 	|4911| 	|0| 	|8493| 	|0| 	|642| 	|8722| 	|5140| 	|0| 	|0| 	|0| 	|6123| 	|0| 	|1598| 	|0| 	|8998| 	|5039| 	|265| 	|0| 	|0| 	|0| 	|8769| 	|0| 	|3625| 	|0| 	|4278| 	|5517| 	|6749| 	|0| 	|0| 	|0| 	|945| 	|0| 	|6325| 	|0| 	|5315| 	|8015| 	|8143| 	|0| 	|0| 	|0| 	|1174| 

For Data Number: ------>>>>> 10		|0| 	|7167| 	|0| 	|6608| 	|521| 	|9537| 	|0| 	|0| 	|0| 	|4568| 	|0| 	|2595| 	|0| 	|952| 	|5578| 	|1531| 	|0| 	|0| 	|0| 	|878| 	|0| 	|9591| 	|0| 	|4561| 	|245| 	|9894| 	|0| 	|0| 	|0| 	|7719| 	|0| 	|1336| 	|0| 	|1033| 	|2548| 	|8251| 	|0| 	|0| 	|0| 	|3578| 	|0| 	|9086| 	|0| 	|6965| 	|5477| 	|7241| 	|0| 	|0| 	|0| 	|8628| 	|0| 	|6581| 	|0| 	|9389| 	|3962| 	|8830| 	|0| 	|0| 	|0| 	|9638| 	|0| 	|9968| 	|0| 	|5901| 	|9995| 	|3450| 	|0| 	|0| 	|0| 	|8453| 	|0| 	|171| 	|0| 	|3349| 	|6177| 	|1861| 	|0| 	|0| 	|0| 	|2622| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 

For Data Number: ------>>>>> 11		|0| 	|2757| 	|0| 	|3538| 	|7221| 	|1215| 	|0| 	|0| 	|0| 	|2555| 	|0| 	|4649| 	|0| 	|5807| 	|3969| 	|7174| 	|0| 	|0| 	|0| 	|8036| 	|0| 	|5309| 	|0| 	|535| 	|562| 	|6743| 	|0| 	|0| 	|0| 	|8635| 	|0| 	|279| 	|0| 	|4393| 	|7733| 	|784| 	|0| 	|0| 	|0| 	|1087| 	|0| 	|2730| 	|0| 	|9955| 	|6972| 	|9672| 	|0| 	|0| 	|0| 	|1269| 	|0| 	|7322| 	|0| 	|9093| 	|5713| 	|8332| 	|0| 	|0| 	|0| 	|5585| 	|0| 	|4272| 	|0| 	|7605| 	|764| 	|9221| 	|0| 	|0| 	|0| 	|4804| 	|0| 	|8211| 	|0| 	|407| 	|4501| 	|1572| 	|0| 	|0| 	|0| 	|9241| 	|0| 	|9571| 	|0| 	|9194| 	|1013| 	|1168| 	|0| 	|0| 	|0| 	|7578| 	|0| 	|1895| 	|0| 	|4723| 	|9295| 	|4602| 	|0| 	|0| 	|0| 	|4925| 

For Data Number: ------>>>>> 12		|0| 	|2232| 	|0| 	|488| 	|9356| 	|91| 	|0| 	|0| 	|0| 	|1983| 	|0| 	|8649| 	|0| 	|7787| 	|892| 	|2313| 	|0| 	|0| 	|0| 	|973| 	|0| 	|2717| 	|0| 	|5390| 	|7154| 	|6548| 	|0| 	|0| 	|0| 	|2333| 	|0| 	|6649| 	|0| 	|4427| 	|293| 	|6858| 	|0| 	|0| 	|0| 	|5464| 	|0| 	|8494| 	|0| 	|845| 	|2609| 	|3821| 	|0| 	|0| 	|0| 	|8622| 	|0| 	|670| 	|0| 	|1653| 	|4939| 	|2387| 	|0| 	|0| 	|0| 	|3013| 	|0| 	|5060| 	|0| 	|7686| 	|3316| 	|2131| 	|0| 	|0| 	|0| 	|771| 	|0| 	|5619| 	|0| 	|5666| 	|5720| 	|185| 	|0| 	|0| 	|0| 	|6400| 	|0| 	|7457| 	|0| 	|4104| 	|165| 	|3922| 	|0| 	|0| 	|0| 	|5289| 	|0| 	|7740| 	|0| 	|2010| 	|2616| 	|2710| 	|0| 	|0| 	|0| 	|5740| 

For Data Number: ------>>>>> 13		|0| 	|8710| 	|0| 	|6784| 	|1613| 	|4064| 	|0| 	|0| 	|0| 	|6030| 	|0| 	|5195| 	|0| 	|6535| 	|9390| 	|2266| 	|0| 	|0| 	|0| 	|2798| 	|0| 	|5067| 	|0| 	|226| 	|731| 	|6690| 	|0| 	|0| 	|0| 	|401| 	|0| 	|5397| 	|0| 	|8804| 	|3249| 	|8508| 	|0| 	|0| 	|0| 	|1485| 	|0| 	|6360| 	|0| 	|2037| 	|3451| 	|980| 	|0| 	|0| 	|0| 	|3047| 	|0| 	|2340| 	|0| 	|2468| 	|1438| 	|3229| 	|0| 	|0| 	|0| 	|1337| 	|0| 	|5754| 	|0| 	|3633| 	|6710| 	|4973| 	|0| 	|0| 	|0| 	|3505| 	|0| 	|502| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 

For Data Number: ------>>>>> 14		|0| 	|7148| 	|0| 	|8892| 	|3007| 	|8111| 	|0| 	|0| 	|0| 	|307| 	|0| 	|6670| 	|0| 	|8643| 	|5384| 	|3189| 	|0| 	|0| 	|0| 	|7276| 	|0| 	|408| 	|0| 	|3741| 	|4596| 	|610| 	|0| 	|0| 	|0| 	|556| 	|0| 	|2300| 	|0| 	|2933| 	|4926| 	|1519| 	|0| 	|0| 	|0| 	|2078| 	|0| 	|5108| 	|0| 	|5101| 	|4650| 	|7121| 	|0| 	|0| 	|0| 	|4623| 	|0| 	|6926| 	|0| 	|6771| 	|8535| 	|2886| 	|0| 	|0| 	|0| 	|5485| 	|0| 	|7451| 	|0| 	|3512| 	|1647| 	|3209| 	|0| 	|0| 	|0| 	|1189| 	|0| 	|6717| 	|0| 	|6798| 	|5202| 	|9498| 	|0| 	|0| 	|0| 	|6724| 	|0| 	|3492| 	|0| 	|1391| 	|1061| 	|839| 	|0| 	|0| 	|0| 	|4192| 	|0| 	|8764| 	|0| 	|8387| 	|5330| 	|0| 	|0| 	|0| 	|0| 	|0| 

For Data Number: ------>>>>> 15		|0| 	|5640| 	|0| 	|4913| 	|819| 	|4078| 	|0| 	|0| 	|0| 	|4031| 	|0| 	|5546| 	|0| 	|2610| 	|6832| 	|1176| 	|0| 	|0| 	|0| 	|8448| 	|0| 	|994| 	|0| 	|368| 	|4280| 	|6731| 	|0| 	|0| 	|0| 	|8879| 	|0| 	|3728| 	|0| 	|5034| 	|8852| 	|9606| 	|0| 	|0| 	|0| 	|3721| 	|0| 	|38| 	|0| 	|267| 	|3876| 	|1580| 	|0| 	|0| 	|0| 	|8091| 	|0| 	|2085| 	|0| 	|1701| 	|1250| 	|4482| 	|0| 	|0| 	|0| 	|6354| 	|0| 	|2839| 	|0| 	|8650| 	|6145| 	|3620| 	|0| 	|0| 	|0| 	|4307| 	|0| 	|7889| 	|0| 	|7660| 	|7586| 	|5943| 	|0| 	|0| 	|0| 	|691| 	|0| 	|5748| 	|0| 	|2031| 	|7135| 	|7788| 	|0| 	|0| 	|0| 	|3526| 	|0| 	|1728| 	|0| 	|4940| 	|6428| 	|1102| 	|0| 	|0| 	|0| 	|6805| 

For Data Number: ------>>>>> 16		|0| 	|5297| 	|0| 	|6388| 	|8401| 	|3506| 	|0| 	|0| 	|0| 	|4765| 	|0| 	|3176| 	|0| 	|4112| 	|2139| 	|321| 	|0| 	|0| 	|0| 	|7923| 	|0| 	|1816| 	|0| 	|6563| 	|8226| 	|3762| 	|0| 	|0| 	|0| 	|9014| 	|0| 	|7499| 	|0| 	|6684| 	|1890| 	|2045| 	|0| 	|0| 	|0| 	|4139| 	|0| 	|3304| 	|0| 	|9714| 	|503| 	|3358| 	|0| 	|0| 	|0| 	|1917| 	|0| 	|3681| 	|0| 	|5398| 	|220| 	|2092| 	|0| 	|0| 	|0| 	|2671| 	|0| 	|4846| 	|0| 	|5075| 	|2947| 	|1331| 	|0| 	|0| 	|0| 	|8913| 	|0| 	|7492| 	|0| 	|1439| 	|7216| 	|1486| 	|0| 	|0| 	|0| 	|4489| 	|0| 	|119| 	|0| 	|5580| 	|8906| 	|9007| 	|0| 	|0| 	|0| 	|3055| 	|0| 	|1109| 	|0| 	|3560| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 

For Data Number: ------>>>>> 17		|0| 	|1850| 	|0| 	|5311| 	|8718| 	|4045| 	|0| 	|0| 	|0| 	|5890| 	|0| 	|4550| 	|0| 	|1520| 	|9748| 	|7755| 	|0| 	|0| 	|0| 	|2557| 	|0| 	|1493| 	|0| 	|6745| 	|9627| 	|8489| 	|0| 	|0| 	|0| 	|4018| 	|0| 	|3385| 	|0| 	|1089| 	|8031| 	|8011| 	|0| 	|0| 	|0| 	|8213| 	|0| 	|3109| 	|0| 	|7075| 	|8563| 	|7001| 	|0| 	|0| 	|0| 	|4395| 	|0| 	|3136| 	|0| 	|7021| 	|8442| 	|2530| 	|0| 	|0| 	|0| 	|860| 	|0| 	|6920| 	|0| 	|1877| 	|5210| 	|8415| 	|0| 	|0| 	|0| 	|9095| 	|0| 	|3493| 	|0| 	|759| 	|4826| 	|6772| 	|0| 	|0| 	|0| 	|2786| 	|0| 	|6112| 	|0| 	|8462| 	|8388| 	|564| 	|0| 	|0| 	|0| 	|7829| 	|0| 	|8745| 	|0| 	|4348| 	|941| 	|2880| 	|0| 	|0| 	|0| 	|5964| 

For Data Number: ------>>>>> 18		|0| 	|3170| 	|0| 	|2214| 	|497| 	|6052| 	|0| 	|0| 	|0| 	|342| 	|0| 	|3224| 	|0| 	|7183| 	|2207| 	|7358| 	|0| 	|0| 	|0| 	|3143| 	|0| 	|7870| 	|0| 	|6126| 	|9560| 	|1884| 	|0| 	|0| 	|0| 	|9735| 	|0| 	|2564| 	|0| 	|2160| 	|295| 	|5971| 	|0| 	|0| 	|0| 	|5439| 	|0| 	|8981| 	|0| 	|4611| 	|6449| 	|5062| 	|0| 	|0| 	|0| 	|1682| 	|0| 	|6355| 	|0| 	|2719| 	|7688| 	|140| 	|0| 	|0| 	|0| 	|3318| 	|0| 	|544| 	|0| 	|6530| 	|6934| 	|645| 	|0| 	|0| 	|0| 	|7944| 	|0| 	|3547| 	|0| 	|6200| 	|1305| 	|7668| 	|0| 	|0| 	|0| 	|6678| 	|0| 	|6752| 	|0| 	|3298| 	|9782| 	|948| 	|0| 	|0| 	|0| 	|2941| 	|0| 	|7136| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 

For Data Number: ------>>>>> 19		|0| 	|9668| 	|0| 	|2046| 	|9163| 	|908| 	|0| 	|0| 	|0| 	|6436| 	|0| 	|9210| 	|0| 	|3561| 	|8099| 	|7042| 	|0| 	|0| 	|0| 	|7520| 	|0| 	|302| 	|0| 	|3352| 	|8806| 	|3635| 	|0| 	|0| 	|0| 	|679| 	|0| 	|7702| 	|0| 	|5426| 	|7170| 	|7372| 	|0| 	|0| 	|0| 	|5325| 	|0| 	|6638| 	|0| 	|3029| 	|2524| 	|120| 	|0| 	|0| 	|0| 	|8429| 	|0| 	|4463| 	|0| 	|6611| 	|4773| 	|1157| 	|0| 	|0| 	|0| 	|9015| 	|0| 	|1891| 	|0| 	|2726| 	|632| 	|7695| 	|0| 	|0| 	|0| 	|5251| 	|0| 	|3965| 	|0| 	|551| 	|1258| 	|4012| 	|0| 	|0| 	|0| 	|5702| 	|0| 	|6941| 	|0| 	|5076| 	|8200| 	|6160| 	|0| 	|0| 	|0| 	|6968| 	|0| 	|3938| 	|0| 	|7978| 	|9439| 	|4086| 	|0| 	|0| 	|0| 	|9796| 

Collision   9371
BUILD SUCCESSFUL (total time: 0 seconds)
